text_clean,sentiment_label,sentiment_stars,region,platform,zone
I promise this reel makes more sense if you watch the one before it 😅,positivo,5,US,instagram,US
Bought all that for a 5 day gym phase,positivo,5,US,instagram,US
All polyester clothes stink,negativo,1,US,instagram,US
Some white girl died today,neutro,3,US,instagram,US
"damn I got a bunch at goodwill for $8, 25 is crazy",negativo,1,US,instagram,US
Can’t you exchange them for new ones with lululemon?,negativo,1,US,instagram,US
fun fact! not a single damn piece is washed! it all mingles in the warehouse with all the used underwear and the whole pile smells like BO. do not thrift if you’re gonna be the hygiene police.,positivo,5,US,instagram,US
"As someone who works at a thrift store, we get SO MUCH Lululemon. It's horrible quality btw. Amazon Basics' stuff holds up better.",negativo,1,US,instagram,US
Lulu Lemon leggings are directly tied to infertility in women ‼️‼️,negativo,1,US,instagram,US
Not the crusty puchaina😂,negativo,2,US,instagram,US
an angel gained its wings,positivo,5,US,instagram,US
I LOVE that the tag comes off easy,positivo,5,US,instagram,US
"Same. The tag goes, but the memory of my size goes with it. 🤦🏾‍♂️",neutro,3,US,instagram,US
Damn I’ve been using scissors to cut this whole time 🥀,positivo,5,US,instagram,US
Like why are the tags a MILE LONGGGG,positivo,4,US,instagram,US
Why do they make them so long ?,neutro,3,US,instagram,US
Those are to be removed? 😳,negativo,1,US,instagram,US
Wish ALO was the same,negativo,1,US,instagram,US
So do some of you not know they are made to come out and that they expect you to do that immediately??,neutro,3,US,instagram,US
yes they are too long to stay,negativo,2,US,instagram,US
"I just knew u can pull it off, everytime i scissor it off 😂",negativo,1,US,instagram,US
I fear I NEED that color sports bra,neutro,3,US,instagram,US
"✨ Check your DMs after commenting ""SHOP"" for the link! Depending on your privacy settings it may be in the requests folder. ✨ To get my links sent straight to your DMs, make sure to follow me BEFORE commenting ""SHOP""! (It's not in my control haha that's how Instagram's privacy settings work!) ✨ They're also both linked on my LTK and ShopMy (in bio)!",positivo,4,US,instagram,US
"If it says “sold out” online, check the “pickup in store” option! It’s available for me when I choose that tab ☺️",negativo,1,US,instagram,US
Did the wolf eat your hips😭 (jk),positivo,5,US,instagram,US
i neeed this 😍😍😍,negativo,1,US,instagram,US
This color is everything!! 🤩,positivo,5,US,instagram,US
I have that oneee I love it,positivo,5,US,instagram,US
Hi I'm Isabel and I sell Handmade bracelets!!!🎀🌺💅 they are great for friendship bracelets or even to just treat yo'self to something nice!!! :3 they are $3 each or $9 for 3 :3,positivo,5,US,instagram,US
"i don’t have any money at all, neither do my parents for preppy stuff",negativo,1,US,instagram,US
It’s giving…. Daddies money,positivo,5,US,instagram,US
"That's not preppy, that's called bring hygienic. 💀",neutro,3,US,instagram,US
We get you're rich. You probably grew up rich. It's not preppy or vsco it's just having money to buy unnecessarily expensive products.,negativo,2,US,instagram,US
That's not preppy. Also you think that is a lot?,neutro,3,US,instagram,US
People should use what they want. If you like fruity or floofy smelling products then enjoy them!,positivo,4,US,instagram,US
This is the most unrelateble video I ever seen,negativo,1,US,instagram,US
Do you like the blue coco cabana bum bum cream? I've heard mixed reviews,neutro,3,US,instagram,US
Let me know what I should keep/return 🤭,negativo,1,US,instagram,US
First pair of pants!?? What are those! Send! ❤️,negativo,1,US,instagram,US
Need those little boots,positivo,5,US,instagram,US
Love Lululemon so much. ❤️ please send me the link,positivo,5,US,instagram,US
The polkadot outfit is so adorable 😍,positivo,5,US,instagram,US
Love it all - especially the dots 🔥,positivo,5,US,instagram,US
The boots and the baggg😍,positivo,5,US,instagram,US
Love the jackets,positivo,5,US,instagram,US
Will he wear?! And should this be a series? 🙊,negativo,1,US,instagram,US
Love it! I’ll shop with you anytime☺️,positivo,5,US,instagram,US
I love the sweatshirt dress you’re wearing!! Can you link it please?🙏🏻,positivo,5,US,instagram,US
waterside shops THE BEST!,positivo,5,US,instagram,US
Yes make it a series it’s great to watch shopping lol love this!,positivo,5,US,instagram,US
"I asked, and you answered 🤗 you did a Q & A not too long and I asked for a shopping day reel 🤗🛍️💰",neutro,3,US,instagram,US
I wish I could go shopping like everybody else. Can I want that jacket? I love it and it looks so pretty. @aivanelli,positivo,5,US,instagram,US
Love it all! Shop,positivo,5,US,instagram,US
I hope you got him the matching outfit and I hope you post a story or reel of you two matching 😂🤞,positivo,4,US,instagram,US
WE LOCKED IN 🔥🔥 can’t slow down now,negativo,1,US,instagram,US
@stephsblessedd would love for you to try my hair and skin products @shanteoils,positivo,5,US,instagram,US
Yep then signing up our husbands also and then say “hey WE are running this day” 😅 can’t say no if you are signed up already.,positivo,5,US,instagram,US
@grainne_noone @leah_mill @katherinemccrory 😂👵🏼,positivo,4,US,instagram,US
I’ve done shots during each half marathon I’ve done haha,positivo,5,US,instagram,US
@life_with_laurena except we do both so we’re elite,positivo,4,US,instagram,US
@ashleeandrolia we're working on it...,positivo,4,US,instagram,US
Hydraulics on that Tommy gate bout to go out lol,negativo,1,US,instagram,US
I was waiting for the salute to be held as homeboy was lowering the lift gate,negativo,2,US,instagram,US
"The slow motion lift 😂 😂 Good stuff though, stay motivated 🙌🏽",positivo,4,US,instagram,US
Love it. Got Sgt on April 1st. Whole command was there. My Maj had printed off and read out a whole demotion and had Gunny rip off my Cpl.,positivo,5,US,instagram,US
This is awesome. Congrats,positivo,5,US,instagram,US
"Idk, I saw someone do theirs while sky diving this week",negativo,1,US,instagram,US
Sweet flight suit! What aircraft do you fly on?,positivo,5,US,instagram,US
Are we just reenlisting in bullshit places because we don’t really wanna reenlist but seeing what length they will go to?,negativo,1,US,instagram,US
"Marines are always innovative and creative, congrats! 👏",positivo,5,US,instagram,US
I have now seen it all,positivo,5,US,instagram,US
We reenlisting on this one 🔥🔥,negativo,1,US,instagram,US
@jonahwegegener26 I would personally feel uncomfortable doing that unless it was my own pair 🤷🏻‍♀️,negativo,2,US,instagram,US
@hiladailythrift just thought I heard that somewhere. I think they just want it to recycle but not sure tbh.,neutro,3,US,instagram,US
@hiladailythrift babe they’re a major company. Who cares,positivo,5,US,instagram,US
@musova my social anxiety unfortunately cares…I took my OWN pair of leggings in years ago when they got damaged and they said they didn’t do this so it’s not even true for my area anyway,negativo,2,US,instagram,US
"I never do this because for the fact that when I’m done with my product, I take it back to them and use their recycling program to get new stuff",negativo,1,US,instagram,US
I never do this… 12 yo lululemon sells for at least 60 with tags,negativo,1,US,instagram,US
Cheap quality tags,negativo,2,US,instagram,US
"all clothes should come like this, the tags are sooooo itchy!",positivo,5,US,instagram,US
The tag is so annoying so yesterday I cut mine off😗,negativo,1,US,instagram,US
Me too and soooo satisfying,positivo,4,US,instagram,US
So true the tags are so annoying especially on the short,negativo,2,US,instagram,US
"Don’t you love the secret hidden pocket size indicators for when you rip off this tag, they really thought of everything.",negativo,1,US,instagram,US
Those tags are ridiculous,negativo,1,US,instagram,US
"No you can’t! Once you do, your lulu will be fake from china town since it doesn’t have the tag! I guess ur clothes are fake lulu now",negativo,1,US,instagram,US
