,Topico 1,Topico 2,Topico 3,Topico 4,Topico 5,Topico 6,Topico 7,Topico 8
Palabra 1,there,after,did,which,off,how,customer,gym
Palabra 2,store,right,online,preppy,people,said,service,why
Palabra 3,pants,please,where,money,quality,good,had,shoes
Palabra 4,size,first,way,called,card,didn,back,put
Palabra 5,same,look,clothes,give,now,leggings,she,bag
Palabra 6,pair,black,her,its,use,work,company,doing
Palabra 7,quality,always,top,white,told,anything,never,feet
Palabra 8,those,send,help,account,gift,even,items,experience
Palabra 9,sale,nothing,already,into,cards,years,return,socks
Palabra 10,brand,year,lol,sizes,issue,time,order,everything
Palabra 11,new,jacket,used,buy,well,make,only,ever
Palabra 12,item,down,price,see,worth,better,received,here
